title,videoId,publishedAt,viewCount,likeCount,commentCount
※괘씸함 주의※ 다들 어서오시소~ 포시 비하인드 영상이라예♬  #offthebase,BbT-O0k7lOg,2024-11-03T09:00:09Z,119219,3987,267
라팍 폴대는 언제나 상시 대기중 🧚 | PO 시구자 모음 #라팍에서생긴일,ZbdbnqNmt_w,2024-11-02T03:00:25Z,81409,4930,440
푸른 엘도라도를 향한 우리들의 여정 | 2024 다큐멘터리 정규시즌 편,RUsKpzR98Z4,2024-10-31T12:00:38Z,189942,11637,1304
"우리들의 푸른 엘도라도, THANK YOU FANS✨ | 다큐멘터리 예고편",e0LLWzfqTqE,2024-10-29T09:30:21Z,80454,6487,940
"홈런의 팀, 또 하나의 발자국을 남기다 #shorts",eh4D-Dw_tKg,2024-10-26T03:00:30Z,32713,2772,56
우리 이야기의 주인공은 우리니까 #덕아웃1열 (10.25 KS 3차전),43u1FhhX8FI,2024-10-26T03:00:03Z,77968,3001,486
"한국시리즈, 라팍에서 첫 승리, 승리 직후의 모습 #애프터매치(10.25 KS 3차전)",kq2bvMNGPgg,2024-10-25T15:11:42Z,91475,4262,593
우리의 이야기는 이제 시작입니다! 📹 #덕아웃1열 (10.19 PO 4차전),ln4DnU093S4,2024-10-20T03:00:39Z,213568,6631,833
"무엇보다 중요한 건 우리의 지금, 팬 여러분 감사합니다✨ | 2024 플레이오프 결산 스페셜 MV",nPDDXsYKR1w,2024-10-19T14:00:11Z,115830,7716,664
"팬 여러분, 여러분의 힘을 광주로 보내주십시오❗️ #shorts",Zv084jOiDWo,2024-10-19T12:50:24Z,140260,13013,1089
"가자, 광주로, KS 진출 직후의 모습 #애프터매치(10.19 PO 4차전)",-TZIhvIuW_0,2024-10-19T10:29:29Z,230454,8419,1217
